source,relation,target
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:red beans and rice was delicious
review:Podb0KH-wQDOhpqxPQeHbw,hasExtract,aspect:Podb0KH-wQDOhpqxPQeHbw#2
aspect:Podb0KH-wQDOhpqxPQeHbw#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:French 75 cocktail was great
review:Podb0KH-wQDOhpqxPQeHbw,hasExtract,aspect:Podb0KH-wQDOhpqxPQeHbw#3
aspect:Podb0KH-wQDOhpqxPQeHbw#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:waitress was awesome and super fun
review:Podb0KH-wQDOhpqxPQeHbw,hasExtract,aspect:Podb0KH-wQDOhpqxPQeHbw#4
aspect:Podb0KH-wQDOhpqxPQeHbw#4,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Places or Areas
subcategory:Places or Areas,hasDetail,detail:Bar
detail:Bar,hasOpinion,opinion:great bar
review:Podb0KH-wQDOhpqxPQeHbw,hasExtract,aspect:Podb0KH-wQDOhpqxPQeHbw#5
aspect:Podb0KH-wQDOhpqxPQeHbw#5,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasDetail,detail:Type
detail:Type,hasOpinion,opinion:open air
review:Podb0KH-wQDOhpqxPQeHbw,hasExtract,aspect:Podb0KH-wQDOhpqxPQeHbw#6
aspect:Podb0KH-wQDOhpqxPQeHbw#6,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasDetail,detail:Type
detail:Type,hasOpinion,opinion:noise level was perfect
user:K6jCHmIqUdMcOrn0BQvQRA,hasReview,review:5xpekr-ZcbCnQXo166OwEA
business:-e1BUAOBk9RAu89c6uTyGA,hasReview,review:5xpekr-ZcbCnQXo166OwEA
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#1
aspect:5xpekr-ZcbCnQXo166OwEA#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:good
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#2
aspect:5xpekr-ZcbCnQXo166OwEA#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:excellent
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#3
aspect:5xpekr-ZcbCnQXo166OwEA#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Cooking Level
detail:Cooking Level,hasOpinion,opinion:cooked perfect
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#4
aspect:5xpekr-ZcbCnQXo166OwEA#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Cooking Level
detail:Cooking Level,hasOpinion,opinion:cooked perfect
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#5
aspect:5xpekr-ZcbCnQXo166OwEA#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Cooking Level
detail:Cooking Level,hasOpinion,opinion:cooked perfect
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#6
aspect:5xpekr-ZcbCnQXo166OwEA#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:good
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#7
aspect:5xpekr-ZcbCnQXo166OwEA#7,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:very fair
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#8
aspect:5xpekr-ZcbCnQXo166OwEA#8,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Delivery
subcategory:Delivery,hasDetail,detail:Ordering Method
detail:Ordering Method,hasOpinion,opinion:app not very user friendly
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#9
aspect:5xpekr-ZcbCnQXo166OwEA#9,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Availability
detail:Availability,hasOpinion,opinion:took quite a while to get ahold of somebody
review:5xpekr-ZcbCnQXo166OwEA,hasExtract,aspect:5xpekr-ZcbCnQXo166OwEA#10
aspect:5xpekr-ZcbCnQXo166OwEA#10,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:would definitely come again
user:hrnCp56anc0ov7L97Et7Wg,hasReview,review:lNU7YEy9Hg5PUs9vUBgu0A
business:ZQc6EvnfQXtIK-8w-d0N5Q,hasReview,review:lNU7YEy9Hg5PUs9vUBgu0A
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#1
aspect:lNU7YEy9Hg5PUs9vUBgu0A#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,"opinion:good, it didn't blow me away"
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#2
aspect:lNU7YEy9Hg5PUs9vUBgu0A#2,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:The Decor
subcategory:The Decor,hasOpinion,opinion:liked the decor
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#3
aspect:lNU7YEy9Hg5PUs9vUBgu0A#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Experience
detail:Experience,hasOpinion,opinion:waitress was clearly new to serving
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#4
aspect:lNU7YEy9Hg5PUs9vUBgu0A#4,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:terrible the bar staff was
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#5
aspect:lNU7YEy9Hg5PUs9vUBgu0A#5,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Availability
detail:Availability,hasOpinion,"opinion:not one person sitting at the bar, only 3 bartenders"
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#6
aspect:lNU7YEy9Hg5PUs9vUBgu0A#6,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Delivery
subcategory:Delivery,hasDetail,detail:Time
detail:Time,hasOpinion,opinion:drinks took an average of 10-15 mins
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#7
aspect:lNU7YEy9Hg5PUs9vUBgu0A#7,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:bartenders were watching their phones while waiting
review:lNU7YEy9Hg5PUs9vUBgu0A,hasExtract,aspect:lNU7YEy9Hg5PUs9vUBgu0A#8
aspect:lNU7YEy9Hg5PUs9vUBgu0A#8,hasCategory,category:Discount/Offer
category:Discount/Offer,hasSubcategory,subcategory:Happy Hours
subcategory:Happy Hours,hasOpinion,opinion:would love to see an earlier happy hour
user:3EXL6Hg9hSz-Hesgwmw5Qw,hasReview,review:rgtwAt5gGfeGtriUTKpEUg
business:Ef2bzjkqUHBefPKHsMbDaQ,hasReview,review:rgtwAt5gGfeGtriUTKpEUg
review:rgtwAt5gGfeGtriUTKpEUg,hasExtract,aspect:rgtwAt5gGfeGtriUTKpEUg#1
aspect:rgtwAt5gGfeGtriUTKpEUg#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:fresh and delicious
review:rgtwAt5gGfeGtriUTKpEUg,hasExtract,aspect:rgtwAt5gGfeGtriUTKpEUg#2
aspect:rgtwAt5gGfeGtriUTKpEUg#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:nice spice
review:rgtwAt5gGfeGtriUTKpEUg,hasExtract,aspect:rgtwAt5gGfeGtriUTKpEUg#3
aspect:rgtwAt5gGfeGtriUTKpEUg#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:very good piece of crawfish bread
review:rgtwAt5gGfeGtriUTKpEUg,hasExtract,aspect:rgtwAt5gGfeGtriUTKpEUg#4
aspect:rgtwAt5gGfeGtriUTKpEUg#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:great ricotta gnocchi
review:rgtwAt5gGfeGtriUTKpEUg,hasExtract,aspect:rgtwAt5gGfeGtriUTKpEUg#5
aspect:rgtwAt5gGfeGtriUTKpEUg#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:delicious seafood platter
review:rgtwAt5gGfeGtriUTKpEUg,hasExtract,aspect:rgtwAt5gGfeGtriUTKpEUg#6
aspect:rgtwAt5gGfeGtriUTKpEUg#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:house made ice cream cookie sandwiches
review:rgtwAt5gGfeGtriUTKpEUg,hasExtract,aspect:rgtwAt5gGfeGtriUTKpEUg#7
aspect:rgtwAt5gGfeGtriUTKpEUg#7,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Located area
subcategory:Located area,hasOpinion,opinion:hidden gem on the Westbank
user:kpR8VABjwRMDVGqCZdZBRA,hasReview,review:T3Borxd4qJ75v_QudlmnWw
business:2VFytje8_davOPXcHFx_ow,hasReview,review:T3Borxd4qJ75v_QudlmnWw
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#1
aspect:T3Borxd4qJ75v_QudlmnWw#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Good meat
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#2
aspect:T3Borxd4qJ75v_QudlmnWw#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:delicious bread
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#3
aspect:T3Borxd4qJ75v_QudlmnWw#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:divine sauces
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#4
aspect:T3Borxd4qJ75v_QudlmnWw#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:spicy cilantro purée (Skhug) is my favorite
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#5
aspect:T3Borxd4qJ75v_QudlmnWw#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Belgian fries are quite good
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#6
aspect:T3Borxd4qJ75v_QudlmnWw#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:beet fries spiced just right with a little coarse salt
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#7
aspect:T3Borxd4qJ75v_QudlmnWw#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Doner Kebab has become my favorite
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#8
aspect:T3Borxd4qJ75v_QudlmnWw#8,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:house salad is a favorite
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#9
aspect:T3Borxd4qJ75v_QudlmnWw#9,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:hummus is a favorite
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#10
aspect:T3Borxd4qJ75v_QudlmnWw#10,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Menu
subcategory:Menu,hasOpinion,opinion:menu is simple and not everything is available yet
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#11
aspect:T3Borxd4qJ75v_QudlmnWw#11,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Open hours
subcategory:Open hours,hasOpinion,opinion:now open for lunch and expanding hours soon
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#12
aspect:T3Borxd4qJ75v_QudlmnWw#12,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:wine service for a few bucks
review:T3Borxd4qJ75v_QudlmnWw,hasExtract,aspect:T3Borxd4qJ75v_QudlmnWw#13
aspect:T3Borxd4qJ75v_QudlmnWw#13,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasDetail,detail:Stars given by customers
detail:Stars given by customers,hasOpinion,opinion:Sixth STAR!!
user:2Qs_-DANX0F04In1Vpzfaw,hasReview,review:iqfGODgGO739-UwtpvfGBQ
business:WXvQTyjP4lL94K9aauWVmw,hasReview,review:iqfGODgGO739-UwtpvfGBQ
review:iqfGODgGO739-UwtpvfGBQ,hasExtract,aspect:iqfGODgGO739-UwtpvfGBQ#1
aspect:iqfGODgGO739-UwtpvfGBQ#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,"opinion:employees don't listen and always get orders wrong, blaming the customer"
review:iqfGODgGO739-UwtpvfGBQ,hasExtract,aspect:iqfGODgGO739-UwtpvfGBQ#2
aspect:iqfGODgGO739-UwtpvfGBQ#2,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,"opinion:I would give a negative 100, will never return"
user:DrOiT5bKKXGR0Y24m5dtOQ,hasReview,review:h3HUPE2hC4UMfSP1F95ssQ
business:CdiIirSjwWzfX7XsSCk-1g,hasReview,review:h3HUPE2hC4UMfSP1F95ssQ
review:h3HUPE2hC4UMfSP1F95ssQ,hasExtract,aspect:h3HUPE2hC4UMfSP1F95ssQ#1
aspect:h3HUPE2hC4UMfSP1F95ssQ#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:Horrible service
review:h3HUPE2hC4UMfSP1F95ssQ,hasExtract,aspect:h3HUPE2hC4UMfSP1F95ssQ#2
aspect:h3HUPE2hC4UMfSP1F95ssQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:presentation is poor
review:h3HUPE2hC4UMfSP1F95ssQ,hasExtract,aspect:h3HUPE2hC4UMfSP1F95ssQ#3
aspect:h3HUPE2hC4UMfSP1F95ssQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:tastes horrible and also cold
review:h3HUPE2hC4UMfSP1F95ssQ,hasExtract,aspect:h3HUPE2hC4UMfSP1F95ssQ#4
aspect:h3HUPE2hC4UMfSP1F95ssQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:steak was bland & dry
review:h3HUPE2hC4UMfSP1F95ssQ,hasExtract,aspect:h3HUPE2hC4UMfSP1F95ssQ#5
aspect:h3HUPE2hC4UMfSP1F95ssQ#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:coleslaw had a funny smell like it was stale & spoilt
review:h3HUPE2hC4UMfSP1F95ssQ,hasExtract,aspect:h3HUPE2hC4UMfSP1F95ssQ#6
aspect:h3HUPE2hC4UMfSP1F95ssQ#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:rice looked like vomit
review:h3HUPE2hC4UMfSP1F95ssQ,hasExtract,aspect:h3HUPE2hC4UMfSP1F95ssQ#7
aspect:h3HUPE2hC4UMfSP1F95ssQ#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:grilled shrimps was tasteless and cold
user:1ux-qx7M1zpTy0Lik0GZNg,hasReview,review:w85hXYRA8yHW3HVXSfJCeA
business:pNN5ggRc5KUBsnIzDdf_2A,hasReview,review:w85hXYRA8yHW3HVXSfJCeA
review:w85hXYRA8yHW3HVXSfJCeA,hasExtract,aspect:w85hXYRA8yHW3HVXSfJCeA#1
aspect:w85hXYRA8yHW3HVXSfJCeA#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:warm and flat
review:w85hXYRA8yHW3HVXSfJCeA,hasExtract,aspect:w85hXYRA8yHW3HVXSfJCeA#2
aspect:w85hXYRA8yHW3HVXSfJCeA#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:disgusting
review:w85hXYRA8yHW3HVXSfJCeA,hasExtract,aspect:w85hXYRA8yHW3HVXSfJCeA#3
aspect:w85hXYRA8yHW3HVXSfJCeA#3,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:Don't waste your money here
review:w85hXYRA8yHW3HVXSfJCeA,hasExtract,aspect:w85hXYRA8yHW3HVXSfJCeA#4
aspect:w85hXYRA8yHW3HVXSfJCeA#4,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:Confused as to anyone could give this dump a positive review
user:sjxbZT1S75KO7kh-FMA0WQ,hasReview,review:smTAbrdm2iZctlRUMgouxg
business:ac1AeYqs8Z4_e2X5M3if2A,hasReview,review:smTAbrdm2iZctlRUMgouxg
review:smTAbrdm2iZctlRUMgouxg,hasExtract,aspect:smTAbrdm2iZctlRUMgouxg#1
aspect:smTAbrdm2iZctlRUMgouxg#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Experience
detail:Experience,hasOpinion,opinion:so great
review:smTAbrdm2iZctlRUMgouxg,hasExtract,aspect:smTAbrdm2iZctlRUMgouxg#2
aspect:smTAbrdm2iZctlRUMgouxg#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:well prepared and extremely flavorful
review:smTAbrdm2iZctlRUMgouxg,hasExtract,aspect:smTAbrdm2iZctlRUMgouxg#3
aspect:smTAbrdm2iZctlRUMgouxg#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:well prepared and extremely flavorful
review:smTAbrdm2iZctlRUMgouxg,hasExtract,aspect:smTAbrdm2iZctlRUMgouxg#4
aspect:smTAbrdm2iZctlRUMgouxg#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:well prepared and extremely flavorful
review:smTAbrdm2iZctlRUMgouxg,hasExtract,aspect:smTAbrdm2iZctlRUMgouxg#5
aspect:smTAbrdm2iZctlRUMgouxg#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasOpinion,opinion:finished it off with dessert
review:smTAbrdm2iZctlRUMgouxg,hasExtract,aspect:smTAbrdm2iZctlRUMgouxg#6
aspect:smTAbrdm2iZctlRUMgouxg#6,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:very joyful experience
user:b5U2skitlJ7gA5jqubi5Xg,hasReview,review:Q9Coa0q_ICvmv3z0z2G6FQ
business:b3tI8ODMieXSflFHLFA92A,hasReview,review:Q9Coa0q_ICvmv3z0z2G6FQ
review:Q9Coa0q_ICvmv3z0z2G6FQ,hasExtract,aspect:Q9Coa0q_ICvmv3z0z2G6FQ#1
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:Love the customer service
review:Q9Coa0q_ICvmv3z0z2G6FQ,hasExtract,aspect:Q9Coa0q_ICvmv3z0z2G6FQ#2
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#2,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasOpinion,opinion:Love the atmosphere
review:Q9Coa0q_ICvmv3z0z2G6FQ,hasExtract,aspect:Q9Coa0q_ICvmv3z0z2G6FQ#3
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:absolutely delicious
review:Q9Coa0q_ICvmv3z0z2G6FQ,hasExtract,aspect:Q9Coa0q_ICvmv3z0z2G6FQ#4
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:loved out Cali bowls
user:1_JX6yUhXh7WQf7-YXoyoQ,hasReview,review:Mb9Y5WSRZrbBMsozdazNiQ
business:W2TjR62C5hj26NoQrbdg-A,hasReview,review:Mb9Y5WSRZrbBMsozdazNiQ
review:Mb9Y5WSRZrbBMsozdazNiQ,hasExtract,aspect:Mb9Y5WSRZrbBMsozdazNiQ#1
aspect:Mb9Y5WSRZrbBMsozdazNiQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Healthy
detail:Healthy,hasOpinion,opinion:Unhealthy junk
user:MUrL66XMarDxzEpcSiwmsA,hasReview,review:el9gb1e1H1Q5oODYvCkaaA
business:Ih6_y2nnbg2Jw9Qdc876GA,hasReview,review:el9gb1e1H1Q5oODYvCkaaA
review:el9gb1e1H1Q5oODYvCkaaA,hasExtract,aspect:el9gb1e1H1Q5oODYvCkaaA#1
aspect:el9gb1e1H1Q5oODYvCkaaA#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:amazing
review:el9gb1e1H1Q5oODYvCkaaA,hasExtract,aspect:el9gb1e1H1Q5oODYvCkaaA#2
aspect:el9gb1e1H1Q5oODYvCkaaA#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasOpinion,opinion:chocolate coffee blend is amazing
review:el9gb1e1H1Q5oODYvCkaaA,hasExtract,aspect:el9gb1e1H1Q5oODYvCkaaA#3
aspect:el9gb1e1H1Q5oODYvCkaaA#3,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:Loved this place
user:9bHc38tXK-PrczxO8KEjFw,hasReview,review:AfLE_NgwCuP7JQe9rcFj7w
business:ku8cAVBLaF_4rI-yK6gNnQ,hasReview,review:AfLE_NgwCuP7JQe9rcFj7w
review:AfLE_NgwCuP7JQe9rcFj7w,hasExtract,aspect:AfLE_NgwCuP7JQe9rcFj7w#1
aspect:AfLE_NgwCuP7JQe9rcFj7w#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:greeted and guided to my table by a lovely hostess
review:AfLE_NgwCuP7JQe9rcFj7w,hasExtract,aspect:AfLE_NgwCuP7JQe9rcFj7w#2
aspect:AfLE_NgwCuP7JQe9rcFj7w#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:cool and refreshing
review:AfLE_NgwCuP7JQe9rcFj7w,hasExtract,aspect:AfLE_NgwCuP7JQe9rcFj7w#3
aspect:AfLE_NgwCuP7JQe9rcFj7w#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:absolutely amazing
review:AfLE_NgwCuP7JQe9rcFj7w,hasExtract,aspect:AfLE_NgwCuP7JQe9rcFj7w#4
aspect:AfLE_NgwCuP7JQe9rcFj7w#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:spectacular
review:AfLE_NgwCuP7JQe9rcFj7w,hasExtract,aspect:AfLE_NgwCuP7JQe9rcFj7w#5
aspect:AfLE_NgwCuP7JQe9rcFj7w#5,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Menu
subcategory:Menu,hasOpinion,opinion:newer item on the menu
