id,label,value,text
user:DrOiT5bKKXGR0Y24m5dtOQ,User,,
business:CdiIirSjwWzfX7XsSCk-1g,Business,,
aspect:h3HUPE2hC4UMfSP1F95ssQ#1,Aspect,,
aspect:h3HUPE2hC4UMfSP1F95ssQ#2,Aspect,,
opinion:presentation is poor,Opinion,presentation is poor,
aspect:h3HUPE2hC4UMfSP1F95ssQ#3,Aspect,,
opinion:tastes horrible and also cold,Opinion,tastes horrible and also cold,
aspect:h3HUPE2hC4UMfSP1F95ssQ#4,Aspect,,
opinion:steak was bland & dry,Opinion,steak was bland & dry,
aspect:h3HUPE2hC4UMfSP1F95ssQ#5,Aspect,,
opinion:coleslaw had a funny smell like it was stale & spoilt,Opinion,coleslaw had a funny smell like it was stale & spoilt,
aspect:h3HUPE2hC4UMfSP1F95ssQ#6,Aspect,,
opinion:rice looked like vomit,Opinion,rice looked like vomit,
aspect:h3HUPE2hC4UMfSP1F95ssQ#7,Aspect,,
opinion:grilled shrimps was tasteless and cold,Opinion,grilled shrimps was tasteless and cold,
review:w85hXYRA8yHW3HVXSfJCeA,Review,,Beer was warm and flat. The food was disgusting. Don't waste your money here. Confused as to anyone could give this dump a positive review.
user:1ux-qx7M1zpTy0Lik0GZNg,User,,
business:pNN5ggRc5KUBsnIzDdf_2A,Business,,
aspect:w85hXYRA8yHW3HVXSfJCeA#1,Aspect,,
opinion:warm and flat,Opinion,warm and flat,
aspect:w85hXYRA8yHW3HVXSfJCeA#2,Aspect,,
opinion:disgusting,Opinion,disgusting,
aspect:w85hXYRA8yHW3HVXSfJCeA#3,Aspect,,
opinion:Don't waste your money here,Opinion,Don't waste your money here,
aspect:w85hXYRA8yHW3HVXSfJCeA#4,Aspect,,
opinion:Confused as to anyone could give this dump a positive review,Opinion,Confused as to anyone could give this dump a positive review,
review:smTAbrdm2iZctlRUMgouxg,Review,,"Service was so great even on Easter Sunday afternoon when the restaurant was packed. The gator bites and Cajun fries were well prepared and extremely flavorful. The veggie omelette as well. Finished it off with dessert, I left with a full stomach and a very joyful experience"
user:sjxbZT1S75KO7kh-FMA0WQ,User,,
business:ac1AeYqs8Z4_e2X5M3if2A,Business,,
aspect:smTAbrdm2iZctlRUMgouxg#1,Aspect,,
opinion:so great,Opinion,so great,
aspect:smTAbrdm2iZctlRUMgouxg#2,Aspect,,
opinion:well prepared and extremely flavorful,Opinion,well prepared and extremely flavorful,
aspect:smTAbrdm2iZctlRUMgouxg#3,Aspect,,
aspect:smTAbrdm2iZctlRUMgouxg#4,Aspect,,
aspect:smTAbrdm2iZctlRUMgouxg#5,Aspect,,
opinion:finished it off with dessert,Opinion,finished it off with dessert,
aspect:smTAbrdm2iZctlRUMgouxg#6,Aspect,,
opinion:very joyful experience,Opinion,very joyful experience,
review:Q9Coa0q_ICvmv3z0z2G6FQ,Review,,Love the customer service and the atmosphere. The food was absolutely delicious and quick. My aunt and I loved out Cali bowls. I had the Half Moon Shrimp bowl with quinoa.
user:b5U2skitlJ7gA5jqubi5Xg,User,,
business:b3tI8ODMieXSflFHLFA92A,Business,,
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#1,Aspect,,
opinion:Love the customer service,Opinion,Love the customer service,
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#2,Aspect,,
opinion:Love the atmosphere,Opinion,Love the atmosphere,
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#3,Aspect,,
opinion:absolutely delicious,Opinion,absolutely delicious,
aspect:Q9Coa0q_ICvmv3z0z2G6FQ#4,Aspect,,
opinion:loved out Cali bowls,Opinion,loved out Cali bowls,
review:Mb9Y5WSRZrbBMsozdazNiQ,Review,,Crap. Only went there because my 10 year old grand daughter wanted to eat there for her BD.  We all told her she needs to pick a new Resturant next year. Unhealthy junk.
user:1_JX6yUhXh7WQf7-YXoyoQ,User,,
business:W2TjR62C5hj26NoQrbdg-A,Business,,
aspect:Mb9Y5WSRZrbBMsozdazNiQ#1,Aspect,,
detail:Healthy,Detail,Healthy,
opinion:Unhealthy junk,Opinion,Unhealthy junk,
review:el9gb1e1H1Q5oODYvCkaaA,Review,,Croissant French toast is amazing! And so is the chocolate coffee blend at the coffee bar. Loved this place.
user:MUrL66XMarDxzEpcSiwmsA,User,,
business:Ih6_y2nnbg2Jw9Qdc876GA,Business,,
aspect:el9gb1e1H1Q5oODYvCkaaA#1,Aspect,,
opinion:amazing,Opinion,amazing,
aspect:el9gb1e1H1Q5oODYvCkaaA#2,Aspect,,
opinion:chocolate coffee blend is amazing,Opinion,chocolate coffee blend is amazing,
aspect:el9gb1e1H1Q5oODYvCkaaA#3,Aspect,,
opinion:Loved this place,Opinion,Loved this place,
review:AfLE_NgwCuP7JQe9rcFj7w,Review,,"So this was an absolutely exceptional meal. As I am currently in town for a conference, I was in dire need to get some quality local food in the city. Walking in I was greeted and guided to my table where my friends were sitting by a lovely hostess. For my drink, I had was a sparkling strawberry which was cool and refreshing. 

For my meal, I ordered the Venison Grillades & Grits which I was told was a newer item on the menu. It was an item that was prepared table side so essentially I received lunch and a little show! The cook walked us through the steps of preparation and explained the ingredients for the meal. Once finished, it was posted and placed in front of me. Presentation - , Taste - ! It was absolutely amazing. I included a before and after of my meal just to show I did not let any of it go to waste! My girlfriends who also ordered, their food came out spectacular as well. They had come to NOLA before and this was my first time. They liked it enough to return and I'll be sure to bring any friends here who travel with me! I'll definitely be raving about this to my coworkers when I return to work on Monday!"
user:9bHc38tXK-PrczxO8KEjFw,User,,
business:ku8cAVBLaF_4rI-yK6gNnQ,Business,,
aspect:AfLE_NgwCuP7JQe9rcFj7w#1,Aspect,,
opinion:greeted and guided to my table by a lovely hostess,Opinion,greeted and guided to my table by a lovely hostess,
aspect:AfLE_NgwCuP7JQe9rcFj7w#2,Aspect,,
opinion:cool and refreshing,Opinion,cool and refreshing,
aspect:AfLE_NgwCuP7JQe9rcFj7w#3,Aspect,,
opinion:absolutely amazing,Opinion,absolutely amazing,
aspect:AfLE_NgwCuP7JQe9rcFj7w#4,Aspect,,
opinion:spectacular,Opinion,spectacular,
aspect:AfLE_NgwCuP7JQe9rcFj7w#5,Aspect,,
opinion:newer item on the menu,Opinion,newer item on the menu,
aspect:AfLE_NgwCuP7JQe9rcFj7w#6,Aspect,,
opinion:absolutely exceptional meal,Opinion,absolutely exceptional meal,
review:NYv33Pb4ga2_vE3s2VDAyQ,Review,,Soooo excited for this location and it did not disappoint! It was FIRE lol!!! The sandwiches had amazing flavor. They used just the right amount of condiments so they were not soggy at all. The service was also prompt and everyone seemed to have a great attitude. I will 100% be going back soon.
user:_N6Kk4a32GmLt7f15MdyRw,User,,
business:fDZ0K02rYnbDht2STz2GCQ,Business,,
aspect:NYv33Pb4ga2_vE3s2VDAyQ#1,Aspect,,
opinion:amazing flavor,Opinion,amazing flavor,
aspect:NYv33Pb4ga2_vE3s2VDAyQ#2,Aspect,,
opinion:prompt,Opinion,prompt,
aspect:NYv33Pb4ga2_vE3s2VDAyQ#3,Aspect,,
opinion:great attitude,Opinion,great attitude,
review:_tFryZi9POc1z-A_opOk9Q,Review,,"I hate country music but I really like this place.
I have had some bar food , wings & nachos ( the guy next me has some and they look fantastic) and it is average bar fair.
This is a nice place and a country themed bar that has line dancing and all the stuff I absolutely hate.
It is really the only bar in the area so I stopped in awhile back for a a happy hour when I was passing bye with a friend.I am glad I did because it is an ok place even though it is a country bar.I actually like some of the songs they are playing , newer country songs so it's actually a different experience.
If you like country this place is for you.
I may be the first person ever in this bar with a polo shirt...."
user:nQpgkgFfZSPZNtvA1jjRZg,User,,
business:2sp5J1TTPz9KNHmoXzEUAg,Business,,
aspect:_tFryZi9POc1z-A_opOk9Q#1,Aspect,,
opinion:wings & nachos look fantastic,Opinion,wings & nachos look fantastic,
aspect:_tFryZi9POc1z-A_opOk9Q#2,Aspect,,
detail:Live Performance,Detail,Live Performance,
opinion:has line dancing,Opinion,has line dancing,
aspect:_tFryZi9POc1z-A_opOk9Q#3,Aspect,,
opinion:newer country songs provide a different experience,Opinion,newer country songs provide a different experience,
aspect:_tFryZi9POc1z-A_opOk9Q#4,Aspect,,
opinion:happy hour with a friend,Opinion,happy hour with a friend,
aspect:_tFryZi9POc1z-A_opOk9Q#5,Aspect,,
opinion:average bar fair,Opinion,average bar fair,
review:SbJjckfO2buvDwm8dzT3sg,Review,,"I went to Applebee's to watch an NBA Playoffs game and enjoy a couple of beers and cheap appetizers. 
First of all, they didn't have the game on television.  In fact, during the later part of the dinner rush, they didn't have any games on tv, just SportsCenter on every television set throughout the bar.  When I asked the bartender if she could put the game on, she seemed put off, as if changing the channel wasn't her job.  I waited approximately 15 minutes for her to figure out how to tune to TNT.
My second issue is that as I walked in, I noticed a sign advertising free mozzarella sticks if I wasn't offered a Corona or Margarita.  Of course, the bartender did not offer either a Corona or Margarita.  When I asked her about it, I was told that this promotion didn't work at the bar, as there were no signs at the bar, but there were signs at every table.  Seems like false advertising to me.  When I left, I looked at the sign again, and it did not state anything about having to sit at a table to be eligible.  As far as I'm concerned, Applebee's owes me mozzarella sticks.
That said, the beers were ice cold and very refreshing.  I ordered an Appetizer Sampler for food, which included boneless wings, spinach-artichoke dip with tortilla chips, mozzarella sticks, and some quesadillas.  All of which were quite tasty.  Also, the hostess was seemingly very nice.  She kept smiling and held the door for me both entering and leaving.
HOSTESS - Kori
BARTENDER - Dawn"
user:5JLxW_HR_QsmHElCo9bz0g,User,,
business:Gku9f-9PKkYqLhPGgD1WGA,Business,,
aspect:SbJjckfO2buvDwm8dzT3sg#1,Aspect,,
detail:TV,Detail,TV,
"opinion:didn't have the game on television, only SportsCenter",Opinion,"didn't have the game on television, only SportsCenter",
aspect:SbJjckfO2buvDwm8dzT3sg#2,Aspect,,
opinion:bartender seemed put off about changing the channel,Opinion,bartender seemed put off about changing the channel,
aspect:SbJjckfO2buvDwm8dzT3sg#3,Aspect,,
opinion:waited approximately 15 minutes for the bartender to tune the TV,Opinion,waited approximately 15 minutes for the bartender to tune the TV,
aspect:SbJjckfO2buvDwm8dzT3sg#4,Aspect,,
"opinion:sign advertised free mozzarella sticks with a drink but the promotion was not honored, false advertising",Opinion,"sign advertised free mozzarella sticks with a drink but the promotion was not honored, false advertising",
aspect:SbJjckfO2buvDwm8dzT3sg#5,Aspect,,
opinion:beers were ice cold and very refreshing,Opinion,beers were ice cold and very refreshing,
aspect:SbJjckfO2buvDwm8dzT3sg#6,Aspect,,
subcategory:Appetizers,Subcategory,Appetizers,
opinion:appetizer sampler was quite tasty,Opinion,appetizer sampler was quite tasty,
aspect:SbJjckfO2buvDwm8dzT3sg#7,Aspect,,
"opinion:hostess was very nice, kept smiling and held the door",Opinion,"hostess was very nice, kept smiling and held the door",
review:c12yW18R5wtIw4hPs5rrPQ,Review,,"If you're in Santa Barbara and you're hankering for Indian food, Spice Avenue is the place to be. The quality of the food rocks... including the lunch buffet. Everything was fresh and tastes like it was made a la carte. Love it!"
user:DQGaPJyHlbD55mzrdySZZw,User,,
business:iAE5tMDs1XSudlEzG-Z3aA,Business,,
aspect:c12yW18R5wtIw4hPs5rrPQ#1,Aspect,,
opinion:Santa Barbara,Opinion,Santa Barbara,
aspect:c12yW18R5wtIw4hPs5rrPQ#2,Aspect,,
opinion:quality of the food rocks,Opinion,quality of the food rocks,
aspect:c12yW18R5wtIw4hPs5rrPQ#3,Aspect,,
detail:Buffet,Detail,Buffet,
opinion:including the lunch buffet,Opinion,including the lunch buffet,
aspect:c12yW18R5wtIw4hPs5rrPQ#4,Aspect,,
opinion:Everything was fresh,Opinion,Everything was fresh,
aspect:c12yW18R5wtIw4hPs5rrPQ#5,Aspect,,
opinion:tastes like it was made a la carte,Opinion,tastes like it was made a la carte,
aspect:c12yW18R5wtIw4hPs5rrPQ#6,Aspect,,
opinion:Love it!,Opinion,Love it!,
review:7_42Glwp9iqK8tUmNizzDQ,Review,,"Authentic Khmer/Cambodian restaurant. Only ordered take out, the pumpkin with pork was excellent!  Also liked bitter flower salad, probably best for those with adventurous taste. Seafood curry was quite yummy too!"
user:pQmgxFdue8tfJXAO4Z1P_Q,User,,
business:t5T6NYFsOqnYl0NETDgj7g,Business,,
aspect:7_42Glwp9iqK8tUmNizzDQ#1,Aspect,,
opinion:pumpkin with pork was excellent,Opinion,pumpkin with pork was excellent,
aspect:7_42Glwp9iqK8tUmNizzDQ#2,Aspect,,
opinion:bitter flower salad ... best for those with adventurous taste,Opinion,bitter flower salad ... best for those with adventurous taste,
aspect:7_42Glwp9iqK8tUmNizzDQ#3,Aspect,,
opinion:Seafood curry was quite yummy,Opinion,Seafood curry was quite yummy,
aspect:7_42Glwp9iqK8tUmNizzDQ#4,Aspect,,
opinion:Only ordered take out,Opinion,Only ordered take out,
review:gLgT3sDwnhNzIbQX_RI2Fg,Review,,"Being from Miami, where every corner has a Colombian restaurant, I can honestly say that I have never had such a great Bandeja Paisa. It is my favorite Colombian meal and the one at La Mordida made me feel like I was in Medellin. Amazing and very very big. Aside from that the service was excellent and I would recommend to anyone who enjoys latin food. Check it out!"
user:VBh4dzHRgiC0YkCgvkwVVg,User,,
business:RmJJ979n9a2AZLUSe7_X6Q,Business,,
aspect:gLgT3sDwnhNzIbQX_RI2Fg#1,Aspect,,
opinion:such a great Bandeja Paisa,Opinion,such a great Bandeja Paisa,
aspect:gLgT3sDwnhNzIbQX_RI2Fg#2,Aspect,,
opinion:very very big,Opinion,very very big,
aspect:gLgT3sDwnhNzIbQX_RI2Fg#3,Aspect,,
opinion:service was excellent,Opinion,service was excellent,
review:sbFNqaRpshfw5DUKxjlYlQ,Review,,"I ordered and paid for our order through the yelp app. My husband arrived to pick it up and staff was unaware of the online order. He waited a few minutes for the food to be prepared ( hey, at least it's hot and fresh?)The food was packed in the flimsiest foam container (medium one compartment with a crappy hinge) I've ever seen. The heat of the food had made the container melt and bulge on the bottom. The food was cold ( we live only 5 min from this location) likely due to aforementioned crappy hinges and melted/bulged container doing nothing for heat retention. I can't really even review the food since it was less than lukewarm. Please, please people, invest in adequate carry out containers. Something like 82% of restaurant prepared meals are take out, and it does matter how the food holds up after it leaves your establishment, especially if you desire repeat business."
user:lJvlZp9Ep9l0FE1DK7RMAg,User,,
business:SfV5jicDlU_9hNVINxmPpg,Business,,
aspect:sbFNqaRpshfw5DUKxjlYlQ#1,Aspect,,
subcategory:Payment,Subcategory,Payment,
detail:Method,Detail,Method,
opinion:ordered and paid through the yelp app,Opinion,ordered and paid through the yelp app,
aspect:sbFNqaRpshfw5DUKxjlYlQ#2,Aspect,,
opinion:staff was unaware of the online order,Opinion,staff was unaware of the online order,
aspect:sbFNqaRpshfw5DUKxjlYlQ#3,Aspect,,
opinion:waited a few minutes for the food to be prepared,Opinion,waited a few minutes for the food to be prepared,
aspect:sbFNqaRpshfw5DUKxjlYlQ#4,Aspect,,
opinion:hot and fresh,Opinion,hot and fresh,
aspect:sbFNqaRpshfw5DUKxjlYlQ#5,Aspect,,
subcategory:Dishes & bowls,Subcategory,Dishes & bowls,
opinion:flimsiest foam container with a crappy hinge,Opinion,flimsiest foam container with a crappy hinge,
aspect:sbFNqaRpshfw5DUKxjlYlQ#6,Aspect,,
opinion:food was cold,Opinion,food was cold,
review:2bJVqEbR16xNbg-tdX6iYg,Review,,Delicious! Addicting! Great restaurant with nice and helpful staff. The ice creamery is a great addition as well as the beers on tap.
user:NC1el_6NYaj7RlLhFRq3kg,User,,
business:yvBDnfgVQy_hCDGj3Hy00w,Business,,
aspect:2bJVqEbR16xNbg-tdX6iYg#1,Aspect,,
opinion:nice and helpful staff,Opinion,nice and helpful staff,
aspect:2bJVqEbR16xNbg-tdX6iYg#2,Aspect,,
opinion:ice creamery is a great addition,Opinion,ice creamery is a great addition,
aspect:2bJVqEbR16xNbg-tdX6iYg#3,Aspect,,
opinion:beers on tap are great,Opinion,beers on tap are great,
review:XvYvkyfxQ0LUsvOx6JC5dA,Review,,"I've tried many different sushi places in Franklin and Knoxville and this place is hands down one of my favorites!  My brother first introduced it to me when I came back from college over break. So far, I've tried their Mango Shrimp Roll, Spicy King Roll, and Sashimi Appetizer. The Sashimi typically speaks volumes to the quality of the fish and is usually the indicator of taste and overall experience. They start with great quality of fish (sashimi), follow through with fantastic rolls, and finish with a satisfied customer."
user:VX7wSS5dCrU7Dhk-OheKQg,User,,
business:2uTT4-ZY21p_Py4pmbrbTg,Business,,
aspect:XvYvkyfxQ0LUsvOx6JC5dA#1,Aspect,,
opinion:great quality of fish (sashimi),Opinion,great quality of fish (sashimi),
aspect:XvYvkyfxQ0LUsvOx6JC5dA#2,Aspect,,
opinion:fantastic rolls,Opinion,fantastic rolls,
aspect:XvYvkyfxQ0LUsvOx6JC5dA#3,Aspect,,
opinion:Sashimi speaks volumes to the quality of the fish,Opinion,Sashimi speaks volumes to the quality of the fish,
aspect:XvYvkyfxQ0LUsvOx6JC5dA#4,Aspect,,
opinion:Sashimi is usually the indicator of taste,Opinion,Sashimi is usually the indicator of taste,
aspect:XvYvkyfxQ0LUsvOx6JC5dA#5,Aspect,,
opinion:hands down one of my favorites,Opinion,hands down one of my favorites,
review:C5rCoXlnK4BJMK889PGtAg,Review,,"EDIT:  I've now been here 3 times on weekends and once for Oktoberfest.  If you hate crowds, DON'T come here on the weekend evenings!  Also, if you refuse to try any new beers outside of the American Macrobreweries (MillerCoors, Anheuser Busch) then don't waste your time.  Great bartenders and everyone is VERY friendly, I love this place!

I haven't personally stayed here to drink, only purchased a selection of hard-to-find beers, but it's a really cool looking interior, feels like a bar I was in when I went to Prague.  

Tons of different beers at good prices, I'll definitely be coming back for a happy hour or two!"
user:PaSeYftKxpE0Dih-XkZUzA,User,,
business:XDlOFRDWQGVjzlvUs1X5Iw,Business,,
aspect:C5rCoXlnK4BJMK889PGtAg#1,Aspect,,
opinion:Great bartenders and everyone is VERY friendly,Opinion,Great bartenders and everyone is VERY friendly,
aspect:C5rCoXlnK4BJMK889PGtAg#2,Aspect,,
opinion:cool looking interior,Opinion,cool looking interior,
aspect:C5rCoXlnK4BJMK889PGtAg#3,Aspect,,
detail:Price,Detail,Price,
opinion:good prices,Opinion,good prices,
aspect:C5rCoXlnK4BJMK889PGtAg#4,Aspect,,
opinion:Tons of different beers,Opinion,Tons of different beers,
aspect:C5rCoXlnK4BJMK889PGtAg#5,Aspect,,
opinion:will be coming back for a happy hour or two,Opinion,will be coming back for a happy hour or two,
aspect:C5rCoXlnK4BJMK889PGtAg#6,Aspect,,
opinion:crowds on weekend evenings,Opinion,crowds on weekend evenings,
review:0Jq1zUiYSMveVf_afQxFQw,Review,,"This place was AMAZING! Granted lots of places in NOLA make delicious charbroiled oysters but these, OMG something was pleasantly different! We had the oysters & crawfish bread appetizer, left very satisfied!"
user:7QN4yZaezQefZcIkdKHNXA,User,,
business:EME5hqQLjBD7e2cLryupbA,Business,,
aspect:0Jq1zUiYSMveVf_afQxFQw#1,Aspect,,
opinion:pleasantly different,Opinion,pleasantly different,
aspect:0Jq1zUiYSMveVf_afQxFQw#2,Aspect,,
opinion:oysters & crawfish bread appetizer left very satisfied,Opinion,oysters & crawfish bread appetizer left very satisfied,
review:TW9tN0jYZPYoVEaFGAb8zA,Review,,Always love Primanti Bros and this one is just as great as the others. Our waitress was very friendly and nice. The food came out quick and was very delicious. Location right downtown is very convenient too.
user:Oe3gy23-vDcCTjIuKojOTA,User,,
business:78e90HO_R40SyzBr4fnHSA,Business,,
aspect:TW9tN0jYZPYoVEaFGAb8zA#1,Aspect,,
opinion:very friendly and nice,Opinion,very friendly and nice,
aspect:TW9tN0jYZPYoVEaFGAb8zA#2,Aspect,,
opinion:very delicious,Opinion,very delicious,
aspect:TW9tN0jYZPYoVEaFGAb8zA#3,Aspect,,
opinion:food came out quick,Opinion,food came out quick,
aspect:TW9tN0jYZPYoVEaFGAb8zA#4,Aspect,,
opinion:Location right downtown is very convenient,Opinion,Location right downtown is very convenient,
review:JxBklMaB7g_ia-QRkrtxMQ,Review,,"Three stars not 3.5 or 4, we enjoyed our evening......but..... I was expecting more, and here's why. 
 I've had the opportunity to dine several times at the Palm Beach facility and that was a first rate experience. Wilmington not so much. Food was delicious and cooked to expectations but the little things just added up, splatter on plates, spotty silverware, food runners auctioning off food, nothing I hate more than saying ... Mine, hers, right here , no that's hers. C'mon there is only two of us at the table and I'm sure the table has a number and there are seating positions so follow them and please stop auctioning food. 
  Server was a bit late on the initial welcome and took several minutes to get water. **please remember- we were there 2 hours and spent over $200+. That's not a bad night, $100 an hour. Some lawyers don't make that!  
  Service was attentive, polite and execution good but not polished! Sounded like a corporate recording at some points, I had to chuckle. 
   Bang bang shrimp, ceviche and ciabatta loaf with infused EVOO were quite good. Shrimp crispy but lettuce garnish not fresh. Seafood ceviche was citrusy but not offensive.
  My sea bass with truffle butter was excellent and my haricot vert were cooked perfectly. The broccoli rabe although flavorful was tough.... The fibrous ends need to be trimmed more. 
  My wife's entree was the  snapper special with shrimp again executed well and met her expectations. 
  We finished with a pumpkin crème brûlée, a very rich savory pumpkin custard topped I mean burnt (brûlée) with caramelized sugar. Creamy and smooth. 
  A bottle of chard and a coffee, were also part of the meal.
  Now we come full circle... Three employees at the hostess stand and not one said goodbye, thanks, see ya, nothing! We didn't exist to them..... So why should I drop another 200, if in the end it doesn't matter to them...... Thanks for coming have a good night!!"
user:5gT1R-EthZ3eGsrP8r79dg,User,,
business:CLUKvU_lTOcCQi6_24lzOg,Business,,
aspect:JxBklMaB7g_ia-QRkrtxMQ#1,Aspect,,
opinion:Three stars not 3.5 or 4,Opinion,Three stars not 3.5 or 4,
aspect:JxBklMaB7g_ia-QRkrtxMQ#2,Aspect,,
"opinion:Bang bang shrimp, ceviche and ciabatta loaf with infused EVOO were quite good",Opinion,"Bang bang shrimp, ceviche and ciabatta loaf with infused EVOO were quite good",
aspect:JxBklMaB7g_ia-QRkrtxMQ#3,Aspect,,
opinion:Shrimp crispy but lettuce garnish not fresh,Opinion,Shrimp crispy but lettuce garnish not fresh,
aspect:JxBklMaB7g_ia-QRkrtxMQ#4,Aspect,,
opinion:Seafood ceviche was citrusy but not offensive,Opinion,Seafood ceviche was citrusy but not offensive,
aspect:JxBklMaB7g_ia-QRkrtxMQ#5,Aspect,,
opinion:Sea bass with truffle butter was excellent,Opinion,Sea bass with truffle butter was excellent,
aspect:JxBklMaB7g_ia-QRkrtxMQ#6,Aspect,,
opinion:Haricot vert were cooked perfectly,Opinion,Haricot vert were cooked perfectly,
aspect:JxBklMaB7g_ia-QRkrtxMQ#7,Aspect,,
"opinion:Broccoli rabe although flavorful was tough, fibrous ends need to be trimmed more",Opinion,"Broccoli rabe although flavorful was tough, fibrous ends need to be trimmed more",
aspect:JxBklMaB7g_ia-QRkrtxMQ#8,Aspect,,
opinion:Snapper special with shrimp executed well and met her expectations,Opinion,Snapper special with shrimp executed well and met her expectations,
aspect:JxBklMaB7g_ia-QRkrtxMQ#9,Aspect,,
"opinion:Pumpkin crème brûlée was very rich, creamy and smooth",Opinion,"Pumpkin crème brûlée was very rich, creamy and smooth",
aspect:JxBklMaB7g_ia-QRkrtxMQ#10,Aspect,,
opinion:A bottle of chard and a coffee were also part of the meal,Opinion,A bottle of chard and a coffee were also part of the meal,
aspect:JxBklMaB7g_ia-QRkrtxMQ#11,Aspect,,
opinion:Server was a bit late on the initial welcome and took several minutes to get water,Opinion,Server was a bit late on the initial welcome and took several minutes to get water,
aspect:JxBklMaB7g_ia-QRkrtxMQ#12,Aspect,,
"opinion:Service was attentive, polite and execution good but not polished",Opinion,"Service was attentive, polite and execution good but not polished",
aspect:JxBklMaB7g_ia-QRkrtxMQ#13,Aspect,,
"opinion:Food runners auctioning off food, splatter on plates and spotty silverware",Opinion,"Food runners auctioning off food, splatter on plates and spotty silverware",
aspect:JxBklMaB7g_ia-QRkrtxMQ#14,Aspect,,
opinion:Three employees at the hostess stand did not say goodbye,Opinion,Three employees at the hostess stand did not say goodbye,
aspect:JxBklMaB7g_ia-QRkrtxMQ#15,Aspect,,
"opinion:Spent over $200 for two hours, about $100 an hour",Opinion,"Spent over $200 for two hours, about $100 an hour",
review:ufdccZ_Tpn-YpLJOVTh9Hg,Review,,"**Update** 
Third time is not the charm... Honestly don't know what I expected this time around. No complaints about the seating got a table pretty quick but came at around 11 PM. Ordered a Miso Ramen with added spicy sauce and poached egg and a Pickled Edamame. The edamame is described as pickled and dressed in a vinaigrette, I expected sharp and tangy tasting pickled edamame but was underwhelmed by a flat cold been salad with large chunks of mushy green peppers and tasteless radish slices. Also got a Miso ramen, but I'd like to describe it as onion soup. The whole soup was hijacked by onions, every bite was filled with al dente white onions, there was definitely more onions than ramen noodles. I would have rather they floated a Gruyere covered crouton and called it French onion soup. My last review was a two star and on top of my above statements the reason why it dropped to a one star was because everyone in the restaurant could care less how we were doing. Never once was I asked how my meal was going or tasted our waitress was too busy dancing around the room and the bus boys were only interested in flipping the tables. They had better customer service the last two times I went, but now they are under a severe deficit of customer service. I really would like someone to take me to the restaurant that they gave a 5 star review, because I MUST be going to the wrong place with the same Ichicoro name and menu. I truly hope this isn't what people accept as GREAT ramen. 
I have been here twice now and both times have had less than stellar meals. The menu and the servers pedal  a beautiful and enticing notion of ramen, but the product that ends up in front of you is lack luster and boring. The menu embellishes a whole lot when it comes to the flavors their ramen is supposed to provide. I've had their house ramen, their shoyu, and a special kimchi ramen. The servers promote a beautiful hunger inspiring description but the flavors they describe are indiscernible in the ramen, fresh citrus flavors in their 15 hour champon broth don't shine through and are muddled and covered by the intense charred taste from the grilled shrimp. The shoyu is so subtle too not very flavorful. The kimchi ramen also underperformed, one would expect a nice kimchi flavored broth with a tang and heat, but it's more like their miso broth with the addition of cabbage and again overpowered by the smokey bacon. The noodles were fantastic, a good textured noodle with nice bite, but they don't produce them in house. I have been twice trying to give them a second chance, but i don't know if I'll make it for a third time when honestly a packaged ramen with your own addition of kimchi would shine a lot brighter than the ramen here."
user:eyvhQWSbb7vLGCxQn3WGxg,User,,
business:KXecZki-_3N7afs6HKWM3A,Business,,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#1,Aspect,,
opinion:got a table pretty quick,Opinion,got a table pretty quick,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#2,Aspect,,
opinion:underwhelmed by flat cold salad with mushy green peppers and tasteless radish,Opinion,underwhelmed by flat cold salad with mushy green peppers and tasteless radish,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#3,Aspect,,
"opinion:soup hijacked by onions, more onions than ramen noodles",Opinion,"soup hijacked by onions, more onions than ramen noodles",
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#4,Aspect,,
opinion:waitress was too busy dancing around the room and never asked how the meal was going,Opinion,waitress was too busy dancing around the room and never asked how the meal was going,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#5,Aspect,,
opinion:bus boys were only interested in flipping the tables,Opinion,bus boys were only interested in flipping the tables,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#6,Aspect,,
opinion:severe deficit of customer service compared to previous visits,Opinion,severe deficit of customer service compared to previous visits,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#7,Aspect,,
opinion:menu overpromises flavors that are not delivered in the ramen,Opinion,menu overpromises flavors that are not delivered in the ramen,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#8,Aspect,,
opinion:shoyu ramen was subtle and not very flavorful,Opinion,shoyu ramen was subtle and not very flavorful,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#9,Aspect,,
opinion:kimchi ramen was overpowered by smokey bacon and lacked the expected tang and heat,Opinion,kimchi ramen was overpowered by smokey bacon and lacked the expected tang and heat,
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#10,Aspect,,
opinion:noodles were fantastic with good texture and nice bite,Opinion,noodles were fantastic with good texture and nice bite,
